origin_tts2022,destination_tts2022,trip_count,distance_between_taz_km,vkt,distance_total,total_vkt_reduced,total_co2_reduced_daily_g,yearly_co2_reduced_g,yearly_co2_reduced_tonnes
6193,6220,136.0,3.080729216400807,418.9791734305097,418.9791734305097,83.79583468610195,17261.941945337003,5178582.583601101,5.178582583601101
6237,6218,136.0,2.159925079655244,293.7498108331132,293.7498108331132,58.749962166622645,12102.492206324265,3630747.6618972793,3.630747661897279
6246,6241,136.0,4.286888180253359,583.0167925144568,583.0167925144568,116.60335850289137,24020.291851595623,7206087.5554786865,7.206087555478686
6264,6196,136.0,9.106886777875022,1238.536601791003,1238.536601791003,247.7073203582006,51027.70799378932,15308312.398136796,15.308312398136797
6179,6125,135.0,4.187285078897204,565.2834856511225,565.2834856511225,113.0566971302245,23289.67960882625,6986903.882647875,6.986903882647875
6199,6188,135.0,2.162180205563692,291.89432775109844,291.89432775109844,58.37886555021969,12026.046303345256,3607813.891003577,3.607813891003577
6200,6197,135.0,5.865905559355821,791.8972505130358,791.8972505130358,158.37945010260717,32626.166721137077,9787850.016341124,9.787850016341125
6117,6197,134.0,3.309375133350977,443.4562678690309,443.4562678690309,88.6912535738062,18270.398236204077,5481119.4708612235,5.481119470861223
6250,6262,134.0,11.295977150903727,1513.6609382210995,1513.6609382210995,302.7321876442199,62362.830654709294,18708849.196412787,18.708849196412785
6262,6197,134.0,2.526702552261229,338.5781420030047,338.5781420030047,67.71562840060095,13949.419450523796,4184825.8351571388,4.184825835157139
6262,6250,134.0,12.348951851831462,1654.759548145416,1654.759548145416,330.9519096290832,68176.09338359114,20452828.01507734,20.45282801507734
6179,6171,133.0,3.082789076699939,410.0109472010919,410.0109472010919,82.00218944021839,16892.45102468499,5067735.307405497,5.067735307405497
6197,6125,133.0,3.478991832569727,462.7059137317737,462.7059137317737,92.54118274635475,19063.48364574908,5719045.093724724,5.7190450937247235
6190,6196,132.0,2.004147949230594,264.5475292984384,264.5475292984384,52.909505859687684,10899.358207095664,3269807.4621286993,3.2698074621286994
6202,6188,132.0,3.202029701704368,422.66792062497655,422.66792062497655,84.53358412499531,17413.918329749034,5224175.498924711,5.224175498924711
6225,6250,132.0,7.215547622473831,952.4522861665456,952.4522861665456,190.49045723330914,39241.034190061684,11772310.257018505,11.772310257018505
6179,6261,130.0,4.315977705850329,561.0771017605427,561.0771017605427,112.21542035210855,23116.37659253436,6934912.977760308,6.934912977760308
6187,6227,130.0,5.210895653115168,677.4164349049719,677.4164349049719,135.4832869809944,27909.557118084846,8372867.135425454,8.372867135425453
6223,6250,130.0,6.414290381433476,833.8577495863519,833.8577495863519,166.7715499172704,34354.9392829577,10306481.78488731,10.30648178488731
6227,6187,130.0,5.143669243203059,668.6770016163977,668.6770016163977,133.73540032327955,27549.492466595588,8264847.739978677,8.264847739978677
6236,6200,130.0,6.23595088742549,810.6736153653137,810.6736153653137,162.13472307306276,33399.75295305093,10019925.885915278,10.019925885915278
6250,6195,130.0,6.24923904401236,812.4010757216068,812.4010757216068,162.4802151443214,33470.924319730206,10041277.295919063,10.041277295919063
6195,6243,129.0,8.043965609129977,1037.671563577767,1037.671563577767,207.53431271555343,42752.06841940401,12825620.525821202,12.825620525821202
6199,6230,129.0,4.693900649225936,605.5131837501458,605.5131837501458,121.10263675002916,24947.143170506006,7484142.951151802,7.484142951151802
6204,6179,129.0,2.59088705527709,334.2244301307446,334.2244301307446,66.84488602614893,13770.04652138668,4131013.956416004,4.1310139564160036
6222,6243,129.0,6.273202134018054,809.243075288329,809.243075288329,161.84861505766582,33340.81470187916,10002244.410563746,10.002244410563746
6199,6261,128.0,3.199635669482121,409.5533656937115,409.5533656937115,81.91067313874231,16873.598666580918,5062079.599974276,5.062079599974275
6250,6201,128.0,5.497226120282791,703.6449433961973,703.6449433961973,140.72898867923945,28990.171667923325,8697051.500376998,8.697051500376997
6168,6223,127.0,3.98440499448355,506.0194342994108,506.0194342994108,101.20388685988218,20848.000693135727,6254400.207940718,6.254400207940718
